Date,Warm-Up,Map,Kills,Assists,Deaths,MVPs,Score,ADR,HS%,Result,Rank,Comments,Day Difference,Games Today
6/9/2023,Yes,Inferno,6,5,13,0,21,69,66,,,,,1
6/9/2023,Yes,Nuke,10,2,13,0,22,78,30,,,,0,2
6/13/2023,Yes,Mirage,7,0,9,0,15,65,57,,,,4,1
6/13/2023,Yes,Nuke,5,4,6,0,15,74,0,,,,0,2
6/13/2023,No,Nuke,6,0,11,0,12,60,16,,,,0,3
6/13/2023,No,Mirage,13,6,13,3,34,99,46,,,,0,4
6/13/2023,No,Nuke,9,3,13,2,23,67,33,,,,0,5
6/13/2023,Yes,Nuke,4,1,10,1,11,38,50,,,,0,6
6/13/2023,Yes,Mirage,6,2,12,0,15,54,50,,,,0,7
6/13/2023,No,Nuke,10,1,10,1,26,86,40,,,,0,8
6/14/2023,No,Nuke,7,2,11,2,19,67,42,,,,1,1
6/14/2023,Yes,Mirage,5,1,6,1,15,41,20,,,,0,2
6/14/2023,Yes,Nuke,8,3,9,3,25,55,25,,,,0,3
6/14/2023,No,Mirage,12,3,9,2,31,100,8,,,,0,4
6/15/2023,Yes,Nuke,8,1,11,0,23,60,37,,,,1,1
6/15/2023,Yes,Inferno,7,3,8,1,21,74,28,,,,0,2
6/16/2023,Yes,Overpass,6,1,7,0,24,53,50,,,,1,1
6/16/2023,Yes,Nuke,14,3,11,3,33,87,14,,,,0,2
6/16/2023,No,Overpass,5,3,11,0,13,56,40,,,,0,3
6/17/2023,Yes,Mirage,7,1,10,1,15,84,0,,,,1,1
6/17/2023,Yes,Overpass,4,4,12,0,19,56,0,,,,0,2
6/17/2023,No,Mirage,5,2,13,1,20,43,60,,,,0,3
6/17/2023,Yes,Inferno,5,2,10,1,22,57,20,,,,0,4
6/17/2023,No,Overpass,12,3,11,3,33,92,25,,,,0,5
6/17/2023,No,Nuke,9,3,11,2,27,59,11,,,,0,6
6/17/2023,Yes,Nuke,3,1,10,0,9,47,0,,,,0,7
6/17/2023,Yes,Mirage,8,1,5,1,19,79,25,,,,0,8
6/17/2023,No,Mirage,9,0,10,1,23,63,11,,,,0,9
6/17/2023,No,Mirage,9,4,9,3,33,57,33,,,,0,10
6/19/2023,No,Inferno,6,3,9,0,15,86,16,,,,2,1
6/19/2023,Yes,Overpass,4,2,10,0,10,45,25,,,,0,2
6/19/2023,Yes,Nuke,8,6,6,1,24,73,12,,,,0,3
6/19/2023,Yes,Mirage,5,0,3,2,24,36,40,,,,0,4
6/19/2023,Yes,Nuke,6,0,10,0,12,57,0,,,,0,5
6/19/2023,No,Nuke,7,1,10,0,18,68,0,Loss,,,0,6
6/20/2023,No,Nuke,7,1,10,0,18,61,14,Loss,,,1,1
6/20/2023,Yes,Overpass,2,1,11,1,11,22,0,Tie,,,0,2
6/20/2023,No,Inferno,5,0,8,0,10,81,100,Loss,,,0,3
6/21/2023,No,Nuke,7,1,9,2,21,56,42,Loss,,,1,1
6/21/2023,No,Nuke,7,3,11,0,17,41,14,Win,,,0,2
6/21/2023,Yes,Nuke,8,4,11,0,22,91,50,Loss,,,0,3
6/21/2023,Yes,Mirage,8,2,11,2,24,45,12,Win,,,0,4
6/22/2023,Yes,Mirage,10,1,10,0,26,64,60,Tie,,,1,1
6/22/2023,Yes,Overpass,9,2,10,0,22,82,44,Loss,,,0,2
6/22/2023,Yes,Overpass,4,2,5,0,18,39,0,Win,,,0,3
6/22/2023,No,Mirage,2,0,9,0,8,48,50,Loss,,,0,4
6/22/2023,No,Nuke,6,4,10,1,16,86,0,Win,,,0,5
6/22/2023,Yes,Mirage,6,0,4,1,16,46,50,Win,,,0,6
6/23/2023,Yes,Mirage,4,1,9,0,13,52,50,Loss,,,1,1
6/23/2023,Yes,Mirage,4,0,10,0,8,30,0,Loss,,,0,2
6/24/2023,No,Mirage,11,1,12,1,30,88,27,Tie,,,1,1
6/24/2023,No,Mirage,11,0,10,1,28,60,9,Tie,,,0,2
6/25/2023,No,Mirage,7,4,11,0,18,72,28,Loss,,,1,1
6/25/2023,Yes,Nuke,9,2,11,0,23,57,22,Tie,,,0,2
6/26/2023,No,Nuke,3,2,13,1,11,42,0,Tie,,,1,1
6/27/2023,Yes,Nuke,8,1,8,1,21,47,12,Loss,,,1,1
6/27/2023,No,Nuke,16,0,11,1,40,89,18,Loss,,,0,2
6/27/2023,No,Mirage,7,3,10,0,17,64,14,Loss,,,0,3
6/27/2023,Yes,Mirage,7,5,11,1,22,57,14,Win,,,0,4
6/28/2023,Yes,Nuke,10,3,9,1,27,87,40,Win,,,1,1
6/28/2023,Yes,Mirage,12,3,11,1,33,67,16,Tie,,,0,2
6/29/2023,No,Mirage,10,8,13,2,30,91,20,Loss,,,1,1
6/29/2023,Yes,Overpass,14,3,13,2,35,90,7,Tie,,,0,2
6/29/2023,No,Mirage,12,2,6,4,28,106,25,Win,,,0,3
6/29/2023,Yes,Nuke,11,1,11,1,27,70,18,Loss,,,0,4
6/30/2023,Yes,Inferno,10,1,10,0,21,62,10,Loss,,,1,1
6/30/2023,Yes,Mirage,10,1,8,1,27,67,50,Tie,,,0,2
6/30/2023,No,Overpass,8,6,13,0,25,69,25,Loss,,,0,3
7/1/2023,Yes,Nuke,5,0,7,1,10,76,20,Loss,,,1,1
7/1/2023,Yes,Overpass,9,3,9,3,28,91,22,Win,,,0,2
7/2/2023,Yes,Mirage,5,4,8,1,20,54,40,Win,,,1,1
7/2/2023,Yes,Nuke,17,3,7,3,44,124,23,Win,,,0,2
7/3/2023,No,Nuke,16,2,10,4,39,91,31,Win,,,1,1
7/7/2023,Yes,Overpass,8,1,11,1,23,65,12,Loss,,,4,1
7/7/2023,No,Mirage,7,3,6,0,19,64,42,Win,,,0,2
7/7/2023,No,Mirage,8,2,14,1,18,68,0,Win,,,0,3
7/8/2023,No,Nuke,2,4,14,0,8,37,0,Tie,,,1,1
7/9/2023,Yes,Nuke,18,1,10,2,45,119,22,Loss,,,1,1
7/9/2023,Yes,Nuke,8,3,11,2,19,95,25,Loss,,,0,2
7/9/2023,Yes,Inferno,7,1,12,1,19,60,28,Loss,,,0,3
7/9/2023,Yes,Nuke,13,3,10,0,29,121,15,Loss,,,0,4
7/10/2023,Yes,Mirage,7,5,10,0,19,90,57,Loss,,,1,1
7/10/2023,Yes,Mirage,8,1,4,3,25,60,50,Win,,,0,2
7/10/2023,No,Overpass,8,2,10,0,19,74,37,Loss,,,0,3
7/11/2023,No,Nuke,5,2,9,1,12,48,,Loss,,,1,1
7/11/2023,No,Nuke,6,4,12,3,20,53,0,Loss,,,0,2
7/13/2023,No,Mirage,8,2,9,2,22,77,33,Win,,,2,1
7/13/2023,No,Mirage,13,5,3,1,35,124,38,Win,,,0,2
7/13/2023,Yes,Mirage,8,1,7,1,24,48,50,Win,,,0,3
7/13/2023,No,Nuke,9,1,9,0,23,89,44,Loss,,,0,4
7/13/2023,Yes,Inferno,13,5,11,2,36,113,38,Loss,,,0,5
7/13/2023,No,Overpass,6,2,10,1,25,47,50,Win,,,0,6
7/13/2023,No,Overpass,4,3,12,0,11,52,25,Loss,,,0,7
7/14/2023,Yes,Inferno,3,1,9,1,9,35,33,Loss,,,1,1
7/14/2023,Yes,Mirage,15,3,13,2,35,112,13,Loss,,,0,2
7/14/2023,Yes,Inferno,9,4,11,3,28,87,22,Win,,,0,3
7/15/2023,No,Nuke,12,6,10,2,39,99,8,Win,,,1,1
7/15/2023,Yes,Mirage,5,2,11,0,14,49,0,Loss,,,0,2
7/15/2023,Yes,Overpass,20,5,12,2,50,127,30,Win,,,0,3
7/16/2023,No,Overpass,8,2,12,1,19,72,37,Loss,,,1,1
7/16/2023,No,Mirage,7,2,11,0,18,77,14,Loss,,,0,2
7/17/2023,No,Mirage,8,2,8,2,25,75,25,Win,,,1,1
7/17/2023,No,Inferno,13,5,7,1,33,109,30,Win,,,0,2
7/17/2023,No,Mirage,10,3,11,4,27,77,50,Loss,,,0,3
7/17/2023,No,Inferno,13,3,14,2,29,110,15,Loss,,,0,4
7/17/2023,No,Mirage,14,1,11,1,29,131,28,Loss,,,0,5
7/17/2023,No,Nuke,8,5,11,0,25,60,12,Tie,,,0,6
7/17/2023,No,Nuke,12,0,11,0,26,74,8,Loss,,,0,7
7/17/2023,No,Inferno,9,3,9,0,21,136,22,Loss,,,0,8
7/18/2023,No,Nuke,11,4,5,3,34,104,18,Win,,,1,1
7/18/2023,No,Nuke,9,2,5,4,22,108,22,Win,Silver II,,0,2
7/18/2023,Yes,Inferno,7,8,12,1,33,83,42,Loss,Silver II,,0,3
7/18/2023,No,Mirage,14,4,7,3,42,128,50,Win,Silver II,,0,4
7/18/2023,No,Overpass,5,4,11,0,18,60,40,Win,Silver II,,0,5
7/18/2023,No,Inferno,3,2,8,1,10,,,Loss,Silver II,K,0,6
7/19/2023,No,Inferno,4,1,10,0,9,53,25,Loss,Silver I,,1,1
7/19/2023,Yes,Nuke,6,1,9,2,21,44,16,Win,Silver I,,0,2
7/19/2023,No,Nuke,18,2,10,2,51,108,5,Win,Silver I,,0,3
7/19/2023,No,Inferno,12,3,10,2,35,81,16,Tie,Silver I,,0,4
7/19/2023,No,Nuke,11,2,5,3,26,101,27,Win,Silver II,,0,5
7/20/2023,Yes,Mirage,7,2,11,0,21,81,42,Win,Silver II,,1,1
7/20/2023,No,Inferno,11,1,11,1,30,73,36,Loss,Silver II,TML,0,2
7/20/2023,Yes,Mirage,11,2,10,2,28,97,9,Loss,Silver II,TML,0,3
7/20/2023,Yes,Overpass,15,1,9,5,36,89,26,Win,Silver II,,0,4
7/20/2023,Yes,Inferno,15,1,7,5,38,86,20,Win,Silver II,,0,5
7/20/2023,No,Inferno,9,3,12,1,22,66,11,Loss,Silver II,,0,6
7/20/2023,Yes,Nuke,10,0,5,2,29,83,30,Win,Silver II,EL,0,7
7/20/2023,No,Mirage,4,5,10,0,13,73,25,Loss,Silver II,,0,8
7/21/2023,Yes,Mirage,9,2,12,1,20,69,33,Loss,Silver II,,1,1
7/21/2023,No,Inferno,13,5,8,2,33,90,15,Win,Silver II,,0,2
7/22/2023,No,Overpass,2,0,9,0,4,30,0,Loss,Silver II,,1,1
7/22/2023,No,Overpass,9,3,13,3,24,70,33,Win,Silver II,,0,2
7/23/2023,Yes,Overpass,11,2,12,1,27,78,9,Loss,Silver II,,1,1
7/23/2023,Yes,Mirage,9,1,11,0,28,74,22,Loss,Silver II,,0,2
7/24/2023,No,Mirage,9,1,7,3,19,73,33,Win,Silver II,2EL,1,1
7/24/2023,Yes,Mirage,13,1,10,2,33,89,30,Tie,Silver II,,0,2
7/25/2023,No,Nuke,6,2,5,1,14,60,16,Win,Silver II,2EL,1,1
7/25/2023,Yes,Inferno,9,2,14,0,22,61,33,Loss,Silver II,,0,2
7/25/2023,Yes,Nuke,12,5,13,1,33,95,50,Win,Silver II,,0,3
7/25/2023,Yes,Nuke,10,3,11,2,24,83,30,Tie,Silver II,,0,4
7/25/2023,Yes,Mirage,13,1,11,2,32,102,7,Loss,Silver II,,0,5
7/29/2023,No,Inferno,12,0,12,1,24,87,25,Loss,Silver II,,4,1
7/29/2023,Yes,Nuke,9,5,12,2,29,63,11,Tie,Silver II,,0,2
7/29/2023,No,Mirage,11,0,9,1,26,58,18,Win,Silver II,,0,3
7/29/2023,Yes,Nuke,6,2,5,2,17,65,0,Win,Silver II,2EL,0,4
7/29/2023,Yes,Mirage,10,4,8,1,31,68,50,Win,Silver II,,0,5
7/30/2023,No,Nuke,7,1,13,1,18,42,42,Loss,Silver II,,1,1
7/30/2023,Yes,Mirage,2,1,8,0,5,24,50,Win,Silver II,2EL,0,2
8/2/2023,No,Mirage,8,1,7,3,25,50,0,Win,Silver IV,2EL,3,1
8/2/2023,No,Overpass,6,3,11,0,19,51,16,Tie,Silver IV,,0,2
8/2/2023,No,Nuke,10,3,7,1,38,106,10,Win,Silver IV,,0,3
8/2/2023,Yes,Mirage,5,0,12,0,15,45,20,Loss,Silver IV,,0,4
8/3/2023,Yes,Inferno,15,2,11,3,45,90,33,Win,Silver IV,,1,1
8/5/2023,Yes,Mirage,10,3,11,1,29,68,0,Win,Silver IV,EL,2,1
8/6/2023,Yes,Nuke,10,7,14,2,32,93,20,Win,Silver IV,,1,1
8/7/2023,No,Mirage,9,1,9,1,24,78,22,Win,Silver Elite,,1,1
8/7/2023,Yes,Inferno,6,1,7,1,15,63,33,Win,Silver Elite,,0,2
8/7/2023,Yes,Nuke,11,1,11,0,23,64,18,Loss,Silver Elite,,0,3
8/7/2023,No,Inferno,3,3,11,0,9,61,66,Loss,Silver Elite,,0,4
8/8/2023,Yes,Mirage,7,1,10,1,18,62,0,Loss,Silver IV,,1,1
8/8/2023,Yes,Inferno,14,2,7,2,34,92,28,Win,Silver IV,,0,2
8/9/2023,No,Overpass,13,1,9,2,37,88,30,Win,Silver IV,,1,1
8/9/2023,Yes,Mirage,11,4,10,0,33,84,45,Win,Silver IV,,0,2
8/9/2023,Yes,Mirage,10,2,10,1,26,30,82,Loss,Silver Elite,,0,3
8/9/2023,Yes,Inferno,8,1,11,0,21,44,25,Win,Silver Elite,,0,4
8/10/2023,Yes,Mirage,7,1,7,0,18,60,0,Win,Silver Elite,,1,1
8/14/2023,Yes,Mirage,9,1,7,3,25,72,40,Win,Silver Elite,,4,1
8/14/2023,No,Inferno,5,2,10,0,16,57,33,Loss,Silver Elite Master,,0,2
8/14/2023,Yes,Overpass,10,1,11,2,23,75,60,Loss,Silver Elite Master,,0,3
8/15/2023,No,Inferno,9,6,12,0,31,77,22,Win,Silver Elite,,1,1
8/15/2023,No,Overpass,11,1,10,2,29,65,36,Win,Silver Elite,,0,2
8/15/2023,Yes,Mirage,9,3,8,2,27,68,33,Win,Silver Elite,,0,3
8/15/2023,No,Inferno,6,1,14,0,13,46,16,Tie,Silver Elite,2EL,0,4
8/16/2023,Yes,Inferno,10,6,13,2,29,78,20,Win,Silver Elite Master,,1,1
8/16/2023,No,Mirage,6,3,6,0,17,44,16,Tie,Silver Elite Master,EL,0,2
8/16/2023,No,Nuke,17,2,9,2,41,95,17,Loss,Silver Elite Master,,0,3
8/17/2023,Yes,Mirage,14,1,11,0,35,78,28,Tie,Silver Elite Master,,1,1
8/17/2023,Yes,Nuke,9,4,12,1,24,77,11,Loss,Silver Elite Master,TML,0,2
8/17/2023,No,Mirage,6,2,10,0,18,70,50,Loss,Silver Elite Master,TML,0,3
8/18/2023,Yes,Mirage,8,3,7,1,19,91,37,Win,Silver Elite,,1,1
8/18/2023,No,Nuke,13,5,10,1,33,104,30,Loss,Silver Elite,,0,2
8/18/2023,Yes,Nuke,3,0,1,1,6,75,0,Win,Silver Elite,S,0,3
8/19/2023,No,Mirage,4,0,10,1,12,43,25,Loss,Silver Elite,EL,1,1
8/19/2023,Yes,Nuke,10,2,12,1,25,87,10,Loss,Silver Elite,,0,2
8/19/2023,No,Nuke,7,1,11,0,16,51,14,Loss,Silver IV,,0,3
8/19/2023,No,Mirage,8,3,12,1,23,44,12,Tie,Silver IV,,0,4
8/19/2023,No,Overpass,11,1,6,1,28,79,18,Win,Silver IV,"TML, EL",0,5
8/20/2023,Yes,Overpass,5,2,12,1,19,52,20,Loss,Silver IV,,1,1
8/20/2023,Yes,Inferno,2,0,9,0,4,28,50,Loss,Silver IV,,0,2
8/20/2023,Yes,Mirage,21,3,11,2,47,127,28,Tie,Silver IV,,0,3
8/20/2023,No,Overpass,9,3,11,2,24,77,33,Tie,Silver IV,,0,4
8/21/2023,Yes,Nuke,7,4,8,1,24,80,0,Win,Silver IV,,1,1
8/21/2023,No,Inferno,3,1,11,0,9,46,33,Loss,Silver Elite,,0,2
8/21/2023,Yes,Mirage,7,3,10,2,18,67,57,Win,Silver Elite,,0,3
8/22/2023,No,Nuke,10,0,10,1,24,64,50,Loss,Silver Elite,,1,1
8/22/2023,No,Mirage,3,3,8,0,13,48,33,Loss,Silver Elite,,0,2
8/22/2023,No,Inferno,7,1,7,1,24,61,14,Win,Silver Elite,,0,3
8/22/2023,No,Nuke,12,1,10,3,39,83,8,Loss,Silver Elite,,0,4
8/22/2023,Yes,Mirage,5,3,11,2,21,46,20,Loss,Silver Elite,,0,5
8/23/2023,No,Mirage,9,1,1,2,20,99,0,Win,Silver Elite,,1,1
8/23/2023,No,Inferno,11,2,11,4,34,79,27,Tie,Silver Elite,,0,2
8/23/2023,No,Nuke,13,3,12,2,41,77,7,Tie,Silver Elite,,0,3
8/23/2023,No,Inferno,7,5,10,1,19,82,14,Loss,Silver Elite,,0,4
8/23/2023,No,Nuke,17,2,7,6,41,121,35,Win,Silver Elite,,0,5
8/23/2023,Yes,Mirage,11,0,10,1,24,89,27,Loss,Silver Elite,,0,6
8/23/2023,Yes,Nuke,17,2,12,1,42,102,23,Tie,Silver Elite,,0,7
8/23/2023,No,Mirage,11,4,11,2,33,63,18,Win,Silver Elite,,0,8
8/24/2023,Yes,Nuke,7,3,11,0,17,88,42,Loss,Silver Elite,,1,1
8/24/2023,Yes,Nuke,5,2,8,0,14,51,0,Win,Silver Elite,,0,2
8/24/2023,Yes,Inferno,4,5,13,1,14,47,0,Win,Silver Elite,,0,3
8/24/2023,No,Nuke,10,3,12,0,27,69,50,Tie,Silver Elite,,0,4
8/24/2023,No,Nuke,8,0,11,1,16,48,12,Loss,Silver Elite,,0,5
8/24/2023,No,Inferno,3,0,9,0,8,44,33,Loss,Silver Elite,,0,6
8/24/2023,No,Mirage,9,2,10,1,23,97,22,Loss,Silver Elite,,0,7
8/24/2023,Yes,Overpass,5,3,13,0,17,32,0,Tie,Silver Elite,,0,8
8/24/2023,No,Nuke,2,2,4,0,11,21,33,Tie,Silver Elite,K,0,9
8/25/2023,No,Nuke,13,2,8,0,38,76,15,Tie,Silver Elite,,1,1
8/26/2023,Yes,Inferno,15,3,8,3,38,97,6,Win,Silver Elite,,1,1
8/26/2023,No,Inferno,12,3,10,2,29,100,41,Loss,Silver Elite,,0,2
8/26/2023,No,Nuke,6,4,12,2,26,63,16,Tie,Silver Elite,,0,3
8/26/2023,Yes,Mirage,10,5,10,3,31,70,40,Tie,Silver Elite,,0,4
8/26/2023,Yes,Nuke,4,2,12,1,16,51,50,Win,Silver Elite,,0,5
8/26/2023,No,Nuke,7,2,11,2,20,59,14,Loss,Silver Elite,,0,6
8/26/2023,Yes,Overpass,11,5,14,1,28,96,9,Tie,Silver Elite,,0,7
8/26/2023,No,Inferno,7,0,3,1,16,57,14,Win,Silver Elite,,0,8
8/27/2023,No,Inferno,17,3,10,3,41,90,23,Tie,Silver Elite,,1,1
8/27/2023,Yes,Mirage,5,2,6,0,13,112,0,Loss,Silver Elite,S,0,2
8/27/2023,Yes,Inferno,8,0,10,0,18,69,12,Loss,Silver Elite,,0,3
8/27/2023,No,Nuke,11,2,5,1,27,90,45,Win,Silver Elite,,0,4
8/28/2023,No,Nuke,8,5,13,0,32,81,25,Loss,Silver Elite,,1,1
8/28/2023,No,Overpass,17,6,11,3,45,112,35,Loss,Silver Elite,,0,2
8/28/2023,Yes,Mirage,7,4,12,1,23,62,57,Loss,Silver Elite,,0,3
8/28/2023,No,Mirage,9,5,11,3,24,77,33,Tie,Silver Elite,,0,4
8/28/2023,No,Overpass,12,4,10,1,30,125,8,Loss,Silver Elite,,0,5
8/30/2023,Yes,Mirage,4,4,11,1,20,65,75,Loss,Gold I,,2,1
8/30/2023,No,Mirage,7,4,13,1,21,77,28,Win,Gold I,,0,2
9/6/2023,No,Nuke,7,2,13,0,20,55,28,Tie,Gold II,,7,1
9/6/2023,Yes,Inferno,5,1,6,2,19,48,60,Win,Gold II,,0,2
9/6/2023,No,Nuke,10,3,10,1,23,81,50,Loss,Gold II,,0,3
9/8/2023,Yes,Mirage,15,1,8,3,40,88,6,Win,Gold II,,2,1
9/8/2023,Yes,Mirage,5,1,13,0,14,59,40,Loss,Gold II,,0,2
9/8/2023,Yes,Nuke,9,3,10,1,30,62,11,Win,Gold II,,0,3
9/8/2023,No,Inferno,12,5,13,2,31,100,33,Loss,Gold II,,0,4
9/8/2023,No,Inferno,11,4,12,0,29,83,45,Win,Gold II,,0,5
9/10/2023,Yes,Mirage,5,0,9,1,13,34,40,Win,Gold II,,2,1
9/10/2023,No,Mirage,14,4,11,2,38,96,42,Win,Gold II,,0,2
9/10/2023,No,Overpass,9,5,12,1,28,85,22,Tie,Gold III,,0,3
9/11/2023,No,Mirage,4,1,8,0,13,39,25,Loss,Gold III,,1,1
9/11/2023,Yes,Overpass,0,0,0,0,0,0,0,Win,Gold III,S,0,2
9/11/2023,Yes,Mirage,7,2,9,1,20,68,42,Win,Gold III,,0,3
9/12/2023,No,Nuke,3,1,11,1,7,40,66,Loss,Gold III,,1,1
9/12/2023,Yes,Mirage,1,0,3,0,2,24,0,Win,Gold III,S,0,2
9/14/2023,No,Nuke,4,3,12,0,13,48,25,Loss,Gold III,,2,1
9/14/2023,Yes,Mirage,5,5,14,0,18,62,60,Loss,Gold III,,0,2
9/14/2023,No,Mirage,6,3,10,1,23,53,33,Loss,Gold III,,0,3
9/18/2023,Yes,Nuke,11,2,10,2,27,72,18,Tie,Gold III,,4,1
9/27/2023,No,Inferno,5,0,5,0,12,44,40,Win,Gold III,,9,1
9/27/2023,No,Nuke,16,6,13,1,45,111,25,Tie,Gold III,,0,2
